DATE,GDPC1,AWHI
1947-01-01,2034.45,.
1947-04-01,2029.024,.
1947-07-01,2024.834,.
1947-10-01,2056.508,.
1948-01-01,2087.442,.
1948-04-01,2121.899,.
1948-07-01,2134.056,.
1948-10-01,2136.44,.
1949-01-01,2107.001,.
1949-04-01,2099.814,.
1949-07-01,2121.493,.
1949-10-01,2103.688,.
1950-01-01,2186.365,.
1950-04-01,2253.045,.
1950-07-01,2340.112,.
1950-10-01,2384.92,.
1951-01-01,2417.311,.
1951-04-01,2459.196,.
1951-07-01,2509.88,.
1951-10-01,2515.408,.
1952-01-01,2542.286,.
1952-04-01,2547.762,.
1952-07-01,2566.153,.
1952-10-01,2650.431,.
1953-01-01,2699.699,.
1953-04-01,2720.566,.
1953-07-01,2705.258,.
1953-10-01,2664.302,.
1954-01-01,2651.566,.
1954-04-01,2654.456,.
1954-07-01,2684.434,.
1954-10-01,2736.96,.
1955-01-01,2815.134,.
1955-04-01,2860.942,.
1955-07-01,2899.578,.
1955-10-01,2916.985,.
1956-01-01,2905.656,.
1956-04-01,2929.666,.
1956-07-01,2927.034,.
1956-10-01,2975.209,.
1957-01-01,2994.259,.
1957-04-01,2987.699,.
1957-07-01,3016.979,.
1957-10-01,2985.775,.
1958-01-01,2908.281,.
1958-04-01,2927.395,.
1958-07-01,2995.112,.
1958-10-01,3065.141,.
1959-01-01,3123.978,.
1959-04-01,3194.429,.
1959-07-01,3196.683,.
1959-10-01,3205.79,.
1960-01-01,3277.847,.
1960-04-01,3260.177,.
1960-07-01,3276.133,.
1960-10-01,3234.087,.
1961-01-01,3255.914,.
1961-04-01,3311.181,.
1961-07-01,3374.742,.
1961-10-01,3440.924,.
1962-01-01,3502.298,.
1962-04-01,3533.947,.
1962-07-01,3577.362,.
1962-10-01,3589.128,.
1963-01-01,3628.306,.
1963-04-01,3669.02,.
1963-07-01,3749.681,.
1963-10-01,3774.264,.
1964-01-01,3853.835,51.2666666666666667
1964-04-01,3895.793,51.8666666666666667
1964-07-01,3956.657,52.4000000000000000
1964-10-01,3968.878,52.8666666666666667
1965-01-01,4064.915,53.6000000000000000
1965-04-01,4116.267,54.2333333333333333
1965-07-01,4207.782,54.7000000000000000
1965-10-01,4304.731,55.3666666666666667
1966-01-01,4409.518,56.1666666666666667
1966-04-01,4424.581,56.7333333333333333
1966-07-01,4462.053,57.0000000000000000
1966-10-01,4498.66,57.2333333333333333
1967-01-01,4538.498,57.0333333333333333
1967-04-01,4541.28,56.6000000000000000
1967-07-01,4584.246,56.9333333333333333
1967-10-01,4618.812,57.4000000000000000
1968-01-01,4713.013,57.6333333333333333
1968-04-01,4791.758,58.1333333333333333
1968-07-01,4828.892,58.6333333333333333
1968-10-01,4847.885,59.0666666666666667
1969-01-01,4923.76,59.7666666666666667
1969-04-01,4938.728,60.3333333333333333
1969-07-01,4971.349,60.6666666666666667
1969-10-01,4947.104,60.7333333333333333
1970-01-01,4939.759,60.4000000000000000
1970-04-01,4946.77,59.5333333333333333
1970-07-01,4992.357,59.2666666666666667
1970-10-01,4938.857,58.4000000000000000
1971-01-01,5072.996,58.5333333333333333
1971-04-01,5100.447,58.9000000000000000
1971-07-01,5142.422,58.9666666666666667
1971-10-01,5154.547,59.4666666666666667
1972-01-01,5249.337,60.4333333333333333
1972-04-01,5368.485,61.1333333333333333
1972-07-01,5419.184,61.4666666666666667
1972-10-01,5509.926,62.4333333333333333
1973-01-01,5646.286,63.5333333333333333
1973-04-01,5707.755,64.0333333333333333
1973-07-01,5677.738,64.2666666666666667
1973-10-01,5731.632,64.7333333333333333
1974-01-01,5682.353,64.5666666666666667
1974-04-01,5695.859,64.5666666666666667
1974-07-01,5642.025,64.4000000000000000
1974-10-01,5620.126,63.1000000000000000
1975-01-01,5551.713,60.9666666666666667
1975-04-01,5591.382,60.4000000000000000
1975-07-01,5687.087,61.2333333333333333
1975-10-01,5763.665,62.0333333333333333
1976-01-01,5893.276,63.2666666666666667
1976-04-01,5936.515,63.5666666666666667
1976-07-01,5969.089,63.8333333333333333
1976-10-01,6012.356,63.8333333333333333
1977-01-01,6083.391,64.5666666666666667
1977-04-01,6201.659,65.9000000000000000
1977-07-01,6313.559,66.4333333333333333
1977-10-01,6313.697,67.3000000000000000
1978-01-01,6333.848,67.3333333333333333
1978-04-01,6578.605,69.2000000000000000
1978-07-01,6644.754,69.9333333333333333
1978-10-01,6734.069,70.6333333333333333
1979-01-01,6746.176,71.2666666666666667
1979-04-01,6753.389,71.4000000000000000
1979-07-01,6803.558,71.8333333333333333
1979-10-01,6820.572,72.1333333333333333
1980-01-01,6842.024,71.8000000000000000
1980-04-01,6701.046,70.4333333333333333
1980-07-01,6693.082,69.9333333333333333
1980-10-01,6817.903,71.0333333333333333
1981-01-01,6951.495,71.4666666666666667
1981-04-01,6899.98,71.7000000000000000
1981-07-01,6982.609,71.6666666666666667
1981-10-01,6906.529,70.9000000000000000
1982-01-01,6799.233,69.6333333333333333
1982-04-01,6830.251,69.3000000000000000
1982-07-01,6804.139,68.6333333333333333
1982-10-01,6806.857,67.7333333333333333
1983-01-01,6896.561,68.0666666666666667
1983-04-01,7053.5,69.1333333333333333
1983-07-01,7194.504,70.2000000000000000
1983-10-01,7344.597,71.9000000000000000
1984-01-01,7488.167,72.9333333333333333
1984-04-01,7617.547,73.8000000000000000
1984-07-01,7690.985,74.4333333333333333
1984-10-01,7754.117,74.9666666666666667
1985-01-01,7829.26,75.3000000000000000
1985-04-01,7898.194,75.9333333333333333
1985-07-01,8018.809,76.1000000000000000
1985-10-01,8078.415,76.7000000000000000
1986-01-01,8153.829,77.0333333333333333
1986-04-01,8190.552,76.8333333333333333
1986-07-01,8268.935,77.3000000000000000
1986-10-01,8313.338,77.7666666666666667
1987-01-01,8375.274,78.6000000000000000
1987-04-01,8465.63,79.2000000000000000
1987-07-01,8539.075,79.8666666666666667
1987-10-01,8685.694,80.5666666666666667
1988-01-01,8730.569,80.8666666666666667
1988-04-01,8845.28,81.6333333333333333
1988-07-01,8897.107,82.1000000000000000
1988-10-01,9015.661,82.9333333333333333
1989-01-01,9107.314,83.5666666666666667
1989-04-01,9176.827,83.7333333333333333
1989-07-01,9244.816,83.8666666666666667
1989-10-01,9263.033,84.2000000000000000
1990-01-01,9364.259,84.8000000000000000
1990-04-01,9398.243,84.4666666666666667
1990-07-01,9404.494,84.1000000000000000
1990-10-01,9318.876,83.5333333333333333
1991-01-01,9275.276,82.8333333333333333
1991-04-01,9347.597,82.2666666666666667
1991-07-01,9394.834,82.3666666666666667
1991-10-01,9427.581,82.3000000000000000
1992-01-01,9540.444,82.3666666666666667
1992-04-01,9643.893,83.0000000000000000
1992-07-01,9739.185,83.1666666666666667
1992-10-01,9840.753,83.5333333333333333
1993-01-01,9857.185,84.3000000000000000
1993-04-01,9914.565,85.0666666666666667
1993-07-01,9961.873,85.7666666666666667
1993-10-01,10097.362,86.6000000000000000
1994-01-01,10195.338,87.3000000000000000
1994-04-01,10333.495,88.6000000000000000
1994-07-01,10393.898,89.6666666666666667
1994-10-01,10512.962,90.4666666666666667
1995-01-01,10550.251,91.0333333333333333
1995-04-01,10581.723,91.0000000000000000
1995-07-01,10671.738,91.5666666666666667
1995-10-01,10744.203,92.0333333333333333
1996-01-01,10824.674,92.0666666666666667
1996-04-01,11005.217,93.2666666666666667
1996-07-01,11103.935,94.1666666666666667
1996-10-01,11219.238,94.9000000000000000
1997-01-01,11291.665,95.5666666666666667
1997-04-01,11479.33,96.5666666666666667
1997-07-01,11622.911,97.4000000000000000
1997-10-01,11722.722,98.1666666666666667
1998-01-01,11839.876,98.6333333333333333
1998-04-01,11949.492,98.9666666666666667
1998-07-01,12099.191,99.4666666666666667
1998-10-01,12294.737,100.2333333333333333
1999-01-01,12410.778,100.5333333333333333
1999-04-01,12514.408,101.1000000000000000
1999-07-01,12679.977,101.7333333333333333
