iter	Logloss
0	0.6916469727
1	0.6902127686
2	0.6887074585
3	0.6872406006
4	0.6860071411
5	0.6845914917
6	0.6832494507
7	0.6818184814
8	0.6805704956
9	0.6795864868
10	0.6783373413
11	0.6771091309
12	0.676085083
13	0.6748998413
14	0.6737388306
15	0.6725641479
16	0.6716223755
17	0.6704907227
18	0.6693835449
19	0.6684390259
20	0.6672825317
21	0.6662399902
22	0.665244873
23	0.6643741455
24	0.6634193115
25	0.6623610229
26	0.6614747925
27	0.6605723877
28	0.6596569824
29	0.6586767578
30	0.6578951416
31	0.6570872803
32	0.6561578369
33	0.6554909058
34	0.6546711426
35	0.6541277466
36	0.6533299561
37	0.6526800537
38	0.6519454956
39	0.6512704468
40	0.6504552002
41	0.6498303223
42	0.6490439453
43	0.6483765869
44	0.6476918335
45	0.647050354
46	0.6463892822
47	0.6457728271
48	0.6451699219
49	0.6446541748
50	0.64396875
51	0.6435063477
52	0.6429140015
53	0.6422634277
54	0.6416956177
55	0.6411417236
56	0.6406547852
57	0.6401383667
58	0.6397096558
59	0.6392753296
60	0.6388162231
61	0.6382463989
62	0.637855835
63	0.637309082
64	0.6368370361
65	0.6364818726
66	0.6360292969
67	0.6355898438
68	0.635086792
69	0.634661499
70	0.6341796875
71	0.6337045288
72	0.6332432861
73	0.6328563232
74	0.6324855957
75	0.6321932373
76	0.6318208618
77	0.6314539795
78	0.6311068115
79	0.6306947021
80	0.630289917
81	0.6299624634
82	0.6296774902
83	0.6294256592
84	0.6290985107
85	0.6287250977
86	0.6284713135
87	0.6281716309
88	0.627866272
89	0.6275680542
90	0.6272732544
91	0.6269321289
92	0.6266594238
93	0.6263786621
94	0.6261190186
95	0.6260014648
96	0.6257347412
97	0.6254836426
98	0.6252390137
99	0.6249885864
100	0.6247759399
101	0.6245326538
102	0.6242980957
103	0.6240657959
104	0.6238355713
105	0.623640625
106	0.6234606934
107	0.6232427979
108	0.6229844971
109	0.622821167
110	0.6226002808
111	0.6224049072
112	0.6221609497
113	0.6219666138
114	0.6217698975
115	0.6216082764
116	0.6214503174
117	0.6212947388
118	0.6211162109
119	0.6209868774
120	0.620840332
121	0.6207052002
122	0.6205317383
123	0.6203240356
124	0.6201747437
125	0.6200061646
126	0.619835022
127	0.6196728516
128	0.6195187988
129	0.6193483887
130	0.6192033691
131	0.6190599365
132	0.6189263916
133	0.6187509766
