"subject","menu","default","choice"
"random1","A","A","A"
"random1","B","B","B"
"random1","A,B","A","B"
"random1","C","C","C"
"random1","A,C","A","A"
"random1","B,C","B","B"
"random1","A,B,C","B","B"
"random1","D","D","D"
"random1","A,D","A","A"
"random1","B,D","D","B"
"random1","A,B,D","A","D"
"random1","C,D","D","D"
"random1","A,C,D","A","A"
"random1","B,C,D","C","D"
"random1","A,B,C,D","D","C"
"random1","E","E","E"
"random1","A,E","E","E"
"random1","B,E","E","B"
"random1","A,B,E","B","B"
"random1","C,E","C","E"
"random1","A,C,E","E","E"
"random1","B,C,E","C","C"
"random1","A,B,C,E","A","B"
"random1","D,E","E","D"
"random1","A,D,E","E","E"
"random1","B,D,E","E","D"
"random1","A,B,D,E","E","A"
"random1","C,D,E","E","D"
"random1","A,C,D,E","A","D"
"random1","B,C,D,E","E","E"
"random1","A,B,C,D,E","B","C"
"random2","A","A","A"
"random2","B","B","B"
"random2","A,B","A","B"
"random2","C","C","C"
"random2","A,C","C","C"
"random2","B,C","B","C"
"random2","A,B,C","C","A"
"random2","D","D","D"
"random2","A,D","A","A"
"random2","B,D","D","B"
"random2","A,B,D","D","A"
"random2","C,D","C","D"
"random2","A,C,D","A","C"
"random2","B,C,D","C","D"
"random2","A,B,C,D","C","D"
"random2","E","E","E"
"random2","A,E","A","E"
"random2","B,E","E","B"
"random2","A,B,E","B","E"
"random2","C,E","C","E"
"random2","A,C,E","C","A"
"random2","B,C,E","C","B"
"random2","A,B,C,E","C","E"
"random2","D,E","D","D"
"random2","A,D,E","E","D"
"random2","B,D,E","D","D"
"random2","A,B,D,E","B","B"
"random2","C,D,E","C","D"
"random2","A,C,D,E","A","D"
"random2","B,C,D,E","E","E"
"random2","A,B,C,D,E","B","B"
"random3","A","A","A"
"random3","B","B","B"
"random3","A,B","B","A"
"random3","C","C","C"
"random3","A,C","A","C"
"random3","B,C","C","C"
"random3","A,B,C","C","B"
"random3","D","D","D"
"random3","A,D","A","A"
"random3","B,D","B","D"
"random3","A,B,D","A","B"
"random3","C,D","C","C"
"random3","A,C,D","D","A"
"random3","B,C,D","C","D"
"random3","A,B,C,D","C","C"
"random3","E","E","E"
"random3","A,E","A","E"
"random3","B,E","B","B"
"random3","A,B,E","B","B"
"random3","C,E","C","E"
"random3","A,C,E","C","C"
"random3","B,C,E","B","E"
"random3","A,B,C,E","B","A"
"random3","D,E","D","E"
"random3","A,D,E","A","A"
"random3","B,D,E","B","B"
"random3","A,B,D,E","B","D"
"random3","C,D,E","D","C"
"random3","A,C,D,E","E","C"
"random3","B,C,D,E","C","B"
"random3","A,B,C,D,E","D","C"
"random4","A","A","A"
"random4","B","B","B"
"random4","A,B","B","A"
"random4","C","C","C"
"random4","A,C","C","C"
"random4","B,C","B","C"
"random4","A,B,C","A","B"
"random4","D","D","D"
"random4","A,D","D","A"
"random4","B,D","D","B"
"random4","A,B,D","D","B"
"random4","C,D","C","D"
"random4","A,C,D","D","C"
"random4","B,C,D","C","C"
"random4","A,B,C,D","C","A"
"random4","E","E","E"
"random4","A,E","E","E"
"random4","B,E","E","E"
"random4","A,B,E","B","B"
"random4","C,E","E","C"
"random4","A,C,E","A","A"
"random4","B,C,E","E","E"
"random4","A,B,C,E","E","A"
"random4","D,E","D","D"
"random4","A,D,E","E","E"
