iter	Passed	Remaining
0	0	476
1	0	446
2	1	442
3	1	438
4	2	446
5	2	437
6	3	432
7	3	429
8	3	426
9	4	425
10	4	423
11	5	420
12	5	438
13	6	446
14	7	482
15	8	533
16	9	549
17	10	577
18	11	592
19	12	613
20	13	614
21	13	607
22	14	599
23	14	595
24	15	590
25	15	586
26	16	582
27	16	576
28	17	569
29	17	562
30	17	556
31	18	550
32	18	545
33	19	540
34	19	538
35	20	537
36	20	535
37	21	535
38	22	556
39	23	575
40	25	589
41	26	595
42	26	592
43	27	588
44	27	582
45	27	577
46	28	572
47	28	567
48	29	563
49	29	560
50	29	556
51	30	552
52	30	548
53	31	545
54	31	541
55	31	537
56	32	534
57	32	531
58	33	529
59	33	526
60	34	524
61	34	525
62	35	524
63	36	530
64	37	542
65	38	545
66	39	550
67	40	553
68	41	558
69	41	556
70	42	554
71	42	551
72	43	549
73	43	546
74	44	545
75	44	542
76	45	539
77	45	536
78	45	534
79	46	532
80	46	529
81	47	527
82	47	524
83	47	522
84	48	520
85	48	519
86	49	519
87	50	519
88	52	534
89	53	538
90	54	539
91	54	537
92	54	535
93	55	532
94	55	530
95	56	529
96	56	527
97	57	525
98	57	524
99	58	522
100	58	523
101	59	521
102	59	519
103	60	517
104	60	515
105	60	513
106	61	511
107	61	509
108	62	508
109	62	507
110	63	507
111	64	509
112	69	544
113	70	551
114	71	551
115	72	551
116	73	551
117	73	550
118	74	551
119	75	550
120	76	553
121	76	553
122	77	553
123	78	552
124	78	551
125	82	568
126	82	569
127	83	568
128	83	566
129	84	565
130	85	564
131	85	562
132	85	560
133	86	558
134	87	558
135	87	558
136	88	557
137	88	555
138	89	554
139	90	553
140	90	552
141	91	551
142	91	549
143	92	549
144	92	548
145	93	547
146	96	561
147	97	561
148	99	565
149	99	565
150	100	563
151	100	561
152	101	559
153	101	557
154	102	556
155	102	555
156	103	554
157	103	553
158	104	551
159	104	550
160	105	548
161	105	547
162	106	545
163	106	544
164	107	543
165	107	542
166	108	540
167	109	540
168	111	546
169	112	548
170	113	548
171	113	547
172	114	547
173	114	545
174	115	544
175	116	543
176	116	542
177	117	541
178	117	539
179	118	538
180	118	537
181	119	536
182	119	534
183	120	533
184	120	531
185	121	530
186	121	529
187	122	527
188	122	527
189	123	526
190	123	524
191	124	524
192	125	523
193	125	522
194	126	522
195	127	521
196	127	521
197	128	520
198	129	519
199	129	518
200	130	517
201	130	516
202	131	516
203	131	514
204	132	513
205	132	512
206	133	510
207	133	509
208	134	508
209	134	507
210	135	506
211	136	506
212	136	505
213	137	504
214	137	503
215	138	502
216	139	501
217	139	500
218	139	499
219	140	498
220	140	496
221	141	495
222	142	494
223	142	493
224	142	492
225	143	491
226	143	490
227	144	489
228	144	487
229	145	487
230	146	486
231	146	485
232	147	484
233	147	483
234	148	482
235	148	481
236	149	480
237	149	480
238	150	479
239	151	478
240	151	477
241	152	476
242	152	475
243	153	474
244	153	473
245	154	473
246	154	472
247	155	471
248	156	470
249	156	469
250	157	468
251	157	467
252	158	467
253	158	466
254	159	465
255	159	464
256	160	464
257	161	463
258	161	462
259	162	461
260	162	460
261	163	460
262	163	459
263	164	458
264	164	457
265	165	456
266	165	455
267	166	454
268	166	453
269	167	452
270	168	452
271	168	451
272	169	450
273	169	450
274	170	449
275	170	448
276	171	447
277	172	446
278	172	445
279	173	444
280	173	443
281	173	442
282	174	441
283	174	440
284	175	439
285	175	438
286	176	437
287	176	436
288	177	435
289	177	434
290	177	433
291	178	432
292	178	431
293	179	430
294	179	429
295	180	428
296	180	427
297	181	426
298	181	425
299	181	424
300	182	424
301	183	422
302	183	422
303	183	420
304	184	420
305	184	419
306	185	418
307	185	417
308	186	416
309	186	415
310	186	414
311	187	413
312	187	412
313	188	411
314	188	410
315	189	409
316	189	408
317	190	407
318	190	406
319	190	405
320	191	404
321	191	403
322	192	402
323	192	401
324	193	401
325	193	400
326	193	399
327	194	398
328	194	397
329	195	396
330	195	395
331	196	394
332	196	393
333	196	392
334	197	391
335	197	390
336	198	390
337	198	389
338	199	388
339	199	387
340	199	386
341	200	385
342	200	384
343	201	383
344	201	382
345	202	382
346	202	381
347	202	380
348	203	379
349	203	378
350	204	377
351	204	377
352	205	376
353	205	375
354	206	374
355	206	373
356	206	372
357	207	371
358	207	371
359	208	370
360	208	369
361	209	368
362	209	367
363	209	366
364	210	365
365	210	365
366	211	364
367	211	363
368	212	362
369	212	361
370	212	360
371	213	360
372	213	359
373	214	358
374	214	357
375	215	357
376	215	356
377	216	355
378	216	354
379	217	354
380	217	353
381	217	352
382	218	351
383	218	351
384	219	350
385	219	349
386	220	348
387	220	347
388	220	347
389	221	346
390	221	345
391	222	344
392	222	344
393	223	343
394	223	342
395	224	341
396	224	341
397	224	340
398	225	339
399	225	338
400	226	337
401	226	337
402	227	336
403	227	335
404	227	334
405	228	334
406	228	333
407	229	332
408	229	331
409	230	331
410	230	330
411	230	329
412	231	328
413	231	328
414	232	327
415	232	326
416	233	326
417	233	325
418	234	324
419	234	323
420	234	323
421	235	322
422	235	321
423	236	320
424	236	320
425	237	319
426	237	318
427	237	317
428	238	317
429	238	316
430	239	315
431	239	314
