Date,"3 Mo","6 Mo","1 Yr","2 Yr","3 Yr","5 Yr","7 Yr","10 Yr","30 Yr"
12/31/1990,6.63,6.73,6.82,7.15,7.40,7.68,8.00,8.08,8.26
12/28/1990,6.64,6.85,6.91,7.25,7.48,7.78,8.08,8.14,8.31
12/27/1990,6.67,6.91,6.94,7.25,7.46,7.75,8.03,8.11,8.25
12/26/1990,6.68,6.91,6.94,7.27,7.50,7.78,8.07,8.15,8.30
12/24/1990,6.73,6.95,6.99,7.35,7.53,7.84,8.12,8.20,8.36
12/21/1990,6.79,6.94,6.95,7.30,7.46,7.75,8.03,8.11,8.28
12/20/1990,6.75,6.87,6.90,7.25,7.41,7.67,7.96,8.05,8.22
12/19/1990,6.83,6.91,6.89,7.21,7.37,7.64,7.92,8.00,8.19
12/18/1990,6.94,7.05,7.02,7.28,7.40,7.67,7.93,7.99,8.15
12/17/1990,7.02,7.07,7.06,7.31,7.45,7.71,7.96,8.02,8.18
12/14/1990,7.06,7.08,7.09,7.35,7.47,7.74,7.97,8.05,8.20
12/13/1990,7.05,7.04,7.11,7.31,7.42,7.68,7.91,7.98,8.14
12/12/1990,7.00,7.00,7.03,7.22,7.33,7.59,7.84,7.91,8.07
12/11/1990,7.06,7.06,7.07,7.26,7.38,7.60,7.87,7.94,8.10
12/10/1990,7.07,7.04,7.10,7.28,7.40,7.63,7.91,7.98,8.14
12/07/1990,7.10,7.08,7.12,7.33,7.45,7.67,7.96,8.03,8.19
12/06/1990,7.22,7.23,7.27,7.48,7.60,7.82,8.11,8.18,8.35
12/05/1990,7.23,7.21,7.24,7.46,7.58,7.82,8.09,8.16,8.32
12/04/1990,7.24,7.23,7.25,7.46,7.58,7.83,8.11,8.20,8.37
12/03/1990,7.28,7.37,7.31,7.51,7.65,7.88,8.14,8.22,8.36
11/30/1990,7.24,7.36,7.31,7.53,7.67,7.91,8.18,8.26,8.40
11/29/1990,7.26,7.38,7.34,7.58,7.72,7.96,8.23,8.32,8.47
11/28/1990,7.29,7.38,7.34,7.56,7.71,7.94,8.22,8.30,8.46
11/27/1990,7.27,7.34,7.28,7.50,7.66,7.94,8.18,8.28,8.44
11/26/1990,7.26,7.33,7.24,7.55,7.65,7.92,8.17,8.27,8.42
11/23/1990,7.25,7.32,7.23,7.53,7.63,7.92,8.16,8.28,8.44
11/21/1990,7.27,7.37,7.26,7.55,7.66,7.92,8.16,8.27,8.44
11/20/1990,7.32,7.42,7.34,7.62,7.72,7.98,8.21,8.31,8.47
11/19/1990,7.33,7.43,7.33,7.62,7.73,8.01,8.24,8.35,8.51
11/16/1990,7.31,7.37,7.27,7.58,7.69,7.96,8.20,8.30,8.46
11/15/1990,7.32,7.40,7.32,7.60,7.71,8.01,8.26,8.37,8.53
11/14/1990,7.30,7.38,7.31,7.58,7.70,8.01,8.25,8.36,8.51
11/13/1990,7.27,7.39,7.30,7.60,7.70,8.01,8.26,8.37,8.52
11/09/1990,7.27,7.39,7.33,7.61,7.75,8.10,8.36,8.49,8.63
11/08/1990,7.32,7.42,7.35,7.67,7.82,8.18,8.44,8.58,8.73
11/07/1990,7.32,7.43,7.36,7.67,7.82,8.16,8.44,8.57,8.71
11/06/1990,7.31,7.42,7.36,7.65,7.80,8.11,8.37,8.52,8.64
11/05/1990,7.31,7.39,7.33,7.63,7.84,8.10,8.36,8.50,8.63
11/02/1990,7.31,7.40,7.35,7.68,7.88,8.16,8.42,8.57,8.70
11/01/1990,7.28,7.38,7.32,7.68,7.88,8.15,8.42,8.57,8.70
10/31/1990,7.34,7.46,7.43,7.77,7.97,8.24,8.50,8.65,8.78
10/30/1990,7.37,7.51,7.48,7.79,8.02,8.28,8.56,8.70,8.83
10/29/1990,7.38,7.48,7.48,7.82,8.01,8.27,8.54,8.70,8.84
10/26/1990,7.36,7.45,7.46,7.80,7.97,8.23,8.48,8.63,8.76
10/25/1990,7.41,7.51,7.46,7.80,7.97,8.21,8.47,8.62,8.74
10/24/1990,7.46,7.53,7.52,7.84,8.00,8.26,8.52,8.66,8.79
10/23/1990,7.45,7.53,7.52,7.84,8.00,8.25,8.51,8.65,8.79
10/22/1990,7.47,7.55,7.53,7.85,8.03,8.25,8.50,8.63,8.76
10/19/1990,7.48,7.56,7.55,7.85,8.02,8.25,8.49,8.62,8.75
10/18/1990,7.49,7.57,7.59,7.91,8.08,8.32,8.59,8.71,8.85
10/17/1990,7.44,7.59,7.60,7.92,8.12,8.37,8.63,8.76,8.89
10/16/1990,7.39,7.58,7.58,7.92,8.13,8.39,8.66,8.79,8.94
10/15/1990,7.40,7.56,7.58,7.92,8.13,8.39,8.67,8.80,8.95
10/12/1990,7.37,7.52,7.59,7.94,8.16,8.44,8.70,8.84,8.98
10/11/1990,7.35,7.51,7.60,7.99,8.22,8.51,8.79,8.92,9.08
10/10/1990,7.44,7.60,7.64,7.99,8.19,8.49,8.78,8.89,9.03
10/09/1990,7.41,7.58,7.64,7.94,8.14,8.43,8.72,8.83,8.98
10/05/1990,7.27,7.44,7.51,7.81,8.00,8.27,8.54,8.65,8.79
10/04/1990,7.36,7.51,7.56,7.87,8.04,8.30,8.58,8.67,8.81
10/03/1990,7.38,7.53,7.57,7.88,8.09,8.33,8.60,8.71,8.85
10/02/1990,7.41,7.55,7.61,7.92,8.10,8.35,8.60,8.69,8.84
10/01/1990,7.37,7.53,7.63,7.94,8.12,8.38,8.63,8.71,8.84
09/28/1990,7.37,7.54,7.69,8.02,8.19,8.47,8.73,8.82,8.96
09/27/1990,7.47,7.61,7.72,8.05,8.28,8.52,8.81,8.91,9.05
09/26/1990,7.57,7.74,7.84,8.16,8.38,8.63,8.90,9.00,9.14
09/25/1990,7.59,7.78,7.85,8.18,8.40,8.64,8.91,9.02,9.15
09/24/1990,7.63,7.75,7.83,8.21,8.38,8.64,8.92,9.04,9.18
09/21/1990,7.60,7.71,7.77,8.12,8.31,8.58,8.87,8.99,9.13
09/20/1990,7.63,7.73,7.81,8.10,8.27,8.53,8.80,8.91,9.05
09/19/1990,7.64,7.69,7.79,8.08,8.24,8.51,8.78,8.88,9.02
09/18/1990,7.61,7.66,7.73,8.03,8.22,8.48,8.77,8.90,9.05
09/17/1990,7.61,7.66,7.73,8.05,8.23,8.49,8.78,8.90,9.06
09/14/1990,7.59,7.63,7.72,8.03,8.23,8.48,8.75,8.87,9.01
09/13/1990,7.59,7.65,7.70,8.01,8.19,8.44,8.71,8.82,8.96
09/12/1990,7.61,7.70,7.75,8.05,8.26,8.45,8.72,8.82,8.96
09/11/1990,7.67,7.76,7.81,8.10,8.27,8.48,8.73,8.83,8.96
09/10/1990,7.68,7.76,7.79,8.09,8.26,8.50,8.75,8.85,8.98
09/07/1990,7.63,7.73,7.73,8.04,8.22,8.45,8.72,8.81,8.92
09/06/1990,7.62,7.71,7.74,8.06,8.24,8.47,8.75,8.84,8.96
09/05/1990,7.61,7.71,7.74,8.04,8.23,8.47,8.75,8.86,8.98
09/04/1990,7.64,7.75,7.76,8.09,8.28,8.53,8.80,8.90,9.03
08/31/1990,7.63,7.74,7.76,8.07,8.26,8.50,8.77,8.86,8.99
08/30/1990,7.70,7.80,7.83,8.12,8.31,8.52,8.77,8.86,8.98
08/29/1990,7.72,7.84,7.85,8.16,8.33,8.52,8.75,8.84,8.95
08/28/1990,7.73,7.87,7.94,8.23,8.42,8.67,8.85,8.94,9.07
08/27/1990,7.78,7.89,7.89,8.21,8.34,8.61,8.80,8.90,9.02
08/24/1990,7.74,7.88,7.96,8.32,8.50,8.75,8.94,9.05,9.17
08/23/1990,7.79,7.91,7.99,8.26,8.44,8.69,8.88,9.00,9.11
08/22/1990,7.85,7.91,7.94,8.26,8.38,8.62,8.80,8.91,9.03
08/21/1990,7.83,7.88,7.90,8.19,8.32,8.56,8.74,8.84,8.94
08/20/1990,7.77,7.85,7.84,8.13,8.28,8.50,8.70,8.81,8.92
08/17/1990,7.72,7.82,7.80,8.11,8.27,8.49,8.68,8.80,8.94
08/16/1990,7.73,7.83,7.81,8.09,8.23,8.45,8.65,8.76,8.91
08/15/1990,7.70,7.73,7.68,7.94,8.08,8.33,8.54,8.64,8.76
08/14/1990,7.68,7.72,7.69,7.94,8.08,8.34,8.55,8.66,8.78
08/13/1990,7.66,7.70,7.65,7.94,8.08,8.36,8.59,8.71,8.83
08/10/1990,7.64,7.68,7.67,7.95,8.12,8.35,8.58,8.68,8.79
08/09/1990,7.66,7.69,7.72,7.99,8.13,8.33,8.55,8.66,8.75
08/08/1990,7.62,7.69,7.73,8.02,8.19,8.43,8.65,8.77,8.87
08/07/1990,7.61,7.73,7.75,8.04,8.19,8.41,8.65,8.78,8.86
08/06/1990,7.54,7.59,7.63,7.90,8.11,8.29,8.55,8.71,8.82
08/03/1990,7.52,7.55,7.56,7.79,7.98,8.11,8.32,8.43,8.55
08/02/1990,7.68,7.67,7.70,7.90,8.03,8.15,8.30,8.41,8.46
08/01/1990,7.67,7.65,7.63,7.85,7.96,8.06,8.20,8.29,8.36
07/31/1990,7.74,7.72,7.72,7.91,8.04,8.13,8.28,8.36,8.42
07/30/1990,7.74,7.74,7.75,7.93,8.05,8.14,8.28,8.34,8.40
07/27/1990,7.77,7.79,7.80,8.00,8.15,8.25,8.36,8.42,8.48
07/26/1990,7.83,7.86,7.90,8.08,8.24,8.31,8.45,8.49,8.54
07/25/1990,7.81,7.85,7.87,8.08,8.24,8.31,8.44,8.49,8.55
07/24/1990,7.78,7.82,7.88,8.12,8.25,8.35,8.48,8.53,8.59
07/23/1990,7.73,7.78,7.81,8.05,8.17,8.28,8.43,8.48,8.54
07/20/1990,7.79,7.84,7.84,8.08,8.18,8.28,8.43,8.48,8.54
07/19/1990,7.79,7.85,7.87,8.13,8.23,8.33,8.47,8.51,8.56
07/18/1990,7.80,7.88,7.87,8.13,8.24,8.34,8.47,8.50,8.55
07/17/1990,7.87,7.91,7.88,8.13,8.23,8.30,8.42,8.44,8.46
07/16/1990,7.86,7.91,7.89,8.15,8.26,8.31,8.43,8.44,8.46
07/13/1990,7.85,7.91,7.89,8.13,8.25,8.32,8.43,8.45,8.46
07/12/1990,7.94,7.98,7.98,8.20,8.31,8.37,8.49,8.50,8.50
07/11/1990,8.05,8.15,8.18,8.40,8.46,8.49,8.58,8.57,8.56
07/10/1990,8.07,8.17,8.21,8.40,8.48,8.50,8.61,8.57,8.56
07/09/1990,8.06,8.14,8.19,8.39,8.46,8.49,8.60,8.57,8.55
07/06/1990,8.01,8.08,8.14,8.32,8.41,8.44,8.56,8.51,8.51
07/05/1990,7.92,7.98,8.02,8.22,8.31,8.34,8.45,8.42,8.42
07/03/1990,7.96,8.00,8.01,8.20,8.28,8.32,8.44,8.40,8.40
07/02/1990,8.00,8.03,8.06,8.25,8.32,8.35,8.46,8.43,8.41
06/29/1990,8.00,8.02,8.05,8.24,8.32,8.35,8.46,8.43,8.41
06/28/1990,8.00,8.03,8.07,8.31,8.37,8.41,8.51,8.47,8.45
06/27/1990,8.05,8.10,8.14,8.37,8.43,8.47,8.56,8.52,8.49
06/26/1990,8.07,8.12,8.19,8.41,8.49,8.51,8.59,8.56,8.53
06/25/1990,8.05,8.09,8.19,8.45,8.48,8.53,8.62,8.58,8.56
06/22/1990,8.04,8.05,8.12,8.40,8.43,8.46,8.55,8.51,8.49
06/21/1990,8.03,8.08,8.14,8.41,8.44,8.48,8.57,8.52,8.50
06/20/1990,8.03,8.07,8.16,8.43,8.46,8.51,8.59,8.55,8.52
06/19/1990,8.00,8.07,8.15,8.41,8.45,8.47,8.55,8.51,8.48
06/18/1990,7.93,8.06,8.11,8.39,8.42,8.45,8.53,8.50,8.47
06/15/1990,7.95,8.04,8.05,8.33,8.37,8.41,8.49,8.46,8.43
06/14/1990,7.92,7.98,8.00,8.24,8.29,8.32,8.41,8.38,8.36
06/13/1990,7.93,7.99,8.02,8.27,8.32,8.35,8.44,8.40,8.39
06/12/1990,7.99,8.05,8.09,8.36,8.42,8.44,8.52,8.48,8.45
06/11/1990,7.99,8.07,8.09,8.36,8.41,8.43,8.52,8.48,8.45
06/08/1990,7.96,8.03,8.07,8.33,8.38,8.42,8.51,8.46,8.44
06/07/1990,7.96,8.01,8.07,8.34,8.38,8.41,8.49,8.46,8.43
06/06/1990,7.96,8.02,8.09,8.34,8.40,8.43,8.51,8.46,8.44
06/05/1990,7.96,8.03,8.09,8.34,8.38,8.42,8.51,8.47,8.46
06/04/1990,7.96,8.03,8.07,8.31,8.36,8.39,8.47,8.44,8.43
06/01/1990,7.94,8.01,8.06,8.33,8.36,8.38,8.47,8.44,8.43
05/31/1990,8.01,8.12,8.22,8.50,8.53,8.56,8.64,8.60,8.58
05/30/1990,8.03,8.09,8.20,8.48,8.54,8.56,8.65,8.62,8.60
05/29/1990,8.02,8.17,8.23,8.52,8.57,8.59,8.68,8.66,8.64
05/25/1990,8.01,8.18,8.23,8.53,8.59,8.61,8.71,8.69,8.67
05/24/1990,7.95,8.12,8.16,8.50,8.54,8.58,8.66,8.63,8.60
05/23/1990,7.91,8.11,8.17,8.51,8.55,8.61,8.65,8.61,8.59
05/22/1990,7.99,8.18,8.22,8.54,8.58,8.66,8.69,8.65,8.61
05/21/1990,8.02,8.18,8.30,8.61,8.66,8.74,8.77,8.74,8.69
