DATE,GDPC1,GPDIC1
1954-01-01,2651.566,260.127
1954-04-01,2654.456,259.513
1954-07-01,2684.434,272.037
1954-10-01,2736.96,283.968
1955-01-01,2815.134,312.337
1955-04-01,2860.942,331.333
1955-07-01,2899.578,336.418
1955-10-01,2916.985,344.218
1956-01-01,2905.656,334.39
1956-04-01,2929.666,331.759
1956-07-01,2927.034,328.788
1956-10-01,2975.209,325.739
1957-01-01,2994.259,320.682
1957-04-01,2987.699,320.357
1957-07-01,3016.979,327.701
1957-10-01,2985.775,302.503
1958-01-01,2908.281,282.096
1958-04-01,2927.395,276.413
1958-07-01,2995.112,297.627
1958-10-01,3065.141,323.004
1959-01-01,3123.978,340.604
1959-04-01,3194.429,367.099
1959-07-01,3196.683,343.391
1959-10-01,3205.79,354.567
1960-01-01,3277.847,390.21
1960-04-01,3260.177,353.841
1960-07-01,3276.133,352.942
1960-10-01,3234.087,313.843
1961-01-01,3255.914,321.988
1961-04-01,3311.181,344.549
1961-07-01,3374.742,371.335
1961-10-01,3440.924,377.479
1962-01-01,3502.298,397.831
1962-04-01,3533.947,394.694
1962-07-01,3577.362,401.401
1962-10-01,3589.128,389.657
1963-01-01,3628.306,410.158
1963-04-01,3669.02,416.683
1963-07-01,3749.681,429.512
1963-10-01,3774.264,434.727
1964-01-01,3853.835,450.997
1964-04-01,3895.793,449.373
1964-07-01,3956.657,459.861
1964-10-01,3968.878,464.229
1965-01-01,4064.915,508.491
1965-04-01,4116.267,509.827
1965-07-01,4207.782,527.578
1965-10-01,4304.731,531.072
1966-01-01,4409.518,573.502
1966-04-01,4424.581,565.012
1966-07-01,4462.053,560.844
1966-10-01,4498.66,564.131
1967-01-01,4538.498,550.286
1967-04-01,4541.28,530.378
1967-07-01,4584.246,545.93
1967-10-01,4618.812,557.706
1968-01-01,4713.013,568.887
1968-04-01,4791.758,590.647
1968-07-01,4828.892,574.539
1968-10-01,4847.885,580.789
1969-01-01,4923.76,614.989
1969-04-01,4938.728,611.366
1969-07-01,4971.349,623.778
1969-10-01,4947.104,593.659
1970-01-01,4939.759,575.953
1970-04-01,4946.77,577.205
1970-07-01,4992.357,586.598
1970-10-01,4938.857,555.454
1971-01-01,5072.996,620.212
1971-04-01,5100.447,637.811
1971-07-01,5142.422,645.549
1971-10-01,5154.547,628.165
1972-01-01,5249.337,669.558
1972-04-01,5368.485,707.589
1972-07-01,5419.184,717.638
1972-10-01,5509.926,722.138
1973-01-01,5646.286,764.458
1973-04-01,5707.755,797.044
1973-07-01,5677.738,768.143
1973-10-01,5731.632,795.504
1974-01-01,5682.353,750.076
1974-04-01,5695.859,747.082
1974-07-01,5642.025,708.362
1974-10-01,5620.126,712.661
1975-01-01,5551.713,597.866
1975-04-01,5591.382,580.067
1975-07-01,5687.087,625.037
1975-10-01,5763.665,642.484
1976-01-01,5893.276,704.475
1976-04-01,5936.515,732.358
1976-07-01,5969.089,734.91
1976-10-01,6012.356,740.408
1977-01-01,6083.391,774.711
1977-04-01,6201.659,830.251
1977-07-01,6313.559,872.264
1977-10-01,6313.697,850.383
1978-01-01,6333.848,866.957
1978-04-01,6578.605,923.266
1978-07-01,6644.754,950.166
1978-10-01,6734.069,972.139
1979-01-01,6746.176,973.754
1979-04-01,6753.389,972.877
1979-07-01,6803.558,956.493
1979-10-01,6820.572,939.526
1980-01-01,6842.024,933.101
1980-04-01,6701.046,853.76
1980-07-01,6693.082,797.411
1980-10-01,6817.903,871.733
1981-01-01,6951.495,952.418
1981-04-01,6899.98,912.945
1981-07-01,6982.609,964.401
1981-10-01,6906.529,930.44
1982-01-01,6799.233,842.429
1982-04-01,6830.251,841.789
1982-07-01,6804.139,834.075
1982-10-01,6806.857,769.602
1983-01-01,6896.561,796.266
1983-04-01,7053.5,866.784
1983-07-01,7194.504,921.051
1983-10-01,7344.597,1010.654
1984-01-01,7488.167,1108.328
1984-04-01,7617.547,1144.371
1984-07-01,7690.985,1169.136
1984-10-01,7754.117,1153.971
1985-01-01,7829.26,1122.331
1985-04-01,7898.194,1141.447
1985-07-01,8018.809,1133.665
1985-10-01,8078.415,1175.45
1986-01-01,8153.829,1175.105
1986-04-01,8190.552,1154.589
1986-07-01,8268.935,1123.532
1986-10-01,8313.338,1126.895
1987-01-01,8375.274,1157.306
1987-04-01,8465.63,1157.909
1987-07-01,8539.075,1158.077
1987-10-01,8685.694,1236.986
1988-01-01,8730.569,1177.604
1988-04-01,8845.28,1205.662
1988-07-01,8897.107,1212.36
1988-10-01,9015.661,1230.861
1989-01-01,9107.314,1272.638
1989-04-01,9176.827,1260.328
1989-07-01,9244.816,1249.012
1989-10-01,9263.033,1239.747
1990-01-01,9364.259,1252.058
1990-04-01,9398.243,1252.449
1990-07-01,9404.494,1228.17
1990-10-01,9318.876,1159.464
1991-01-01,9275.276,1120.884
1991-04-01,9347.597,1120.88
1991-07-01,9394.834,1143.073
1991-10-01,9427.581,1183.605
1992-01-01,9540.444,1161.74
1992-04-01,9643.893,1227.44
1992-07-01,9739.185,1237.197
1992-10-01,9840.753,1274.945
1993-01-01,9857.185,1305.003
1993-04-01,9914.565,1312.511
1993-07-01,9961.873,1303.597
1993-10-01,10097.362,1372.097
1994-01-01,10195.338,1424.36
1994-04-01,10333.495,1494.411
1994-07-01,10393.898,1469.999
1994-10-01,10512.962,1530.476
1995-01-01,10550.251,1546.548
1995-04-01,10581.723,1514.426
1995-07-01,10671.738,1505.399
1995-10-01,10744.203,1542.785
1996-01-01,10824.674,1567.56
1996-04-01,11005.217,1642.882
1996-07-01,11103.935,1717.51
1996-10-01,11219.238,1715.245
1997-01-01,11291.665,1749.879
1997-04-01,11479.33,1856.956
1997-07-01,11622.911,1882.955
1997-10-01,11722.722,1911.048
1998-01-01,11839.876,1994.375
1998-04-01,11949.492,1982.058
1998-07-01,12099.191,2033.015
1998-10-01,12294.737,2095.76
1999-01-01,12410.778,2153.308
1999-04-01,12514.408,2154.652
1999-07-01,12679.977,2213.773
1999-10-01,12888.281,2273.095
2000-01-01,12935.252,2257.109
2000-04-01,13170.749,2390.733
2000-07-01,13183.89,2367.274
2000-10-01,13262.25,2371.809
2001-01-01,13219.251,2264.202
2001-04-01,13301.394,2267.433
2001-07-01,13248.142,2218.37
2001-10-01,13284.881,2108.5
2002-01-01,13394.91,2170.707
2002-04-01,13477.356,2206.375
2002-07-01,13531.741,2203.109
