,year,gdp,cpi,stir,inf
2516,1870,2.0556610130144324,10.576832106722046,5.72,
2517,1871,2.0366645123237777,9.903127902710965,5.56,-6.5815301781384505
2518,1872,2.1173392646828444,9.903127902710965,8.38,0.0
2519,1873,2.1789474525358674,9.700692745255711,14.24,-2.065335701177773
2520,1874,2.147450596044055,9.229423698699883,3.43,-4.980069127449527
2521,1875,2.108878977333453,8.892571596694342,3.11,-3.7180332556127293
2522,1876,2.1268021130396737,8.69013643923909,3.35,-2.3027636293302844
2523,1877,2.1522272114054837,8.48851102241366,3.87,-2.3475035092942242
2524,1878,2.135349173618132,8.083640707503154,4.22,-4.88712511161471
2525,1879,2.245908915800489,8.083640707503154,5.44,0.0
2526,1880,2.3477496449484194,8.286075864958406,4.86,2.473414575033006
2527,1881,2.4630018143999504,8.286075864958406,5.76,0.0
2528,1882,2.5121164168883934,8.286075864958406,4.78,0.0
2529,1883,2.520515077255368,8.151658920408117,3.71,-1.6355044357332371
2530,1884,2.476202209157854,7.949223762952864,3.03,-2.5147171036902005
2531,1885,2.460016100942874,7.814806818402577,1.66,-1.7054039785385111
2532,1886,2.5093553301903104,7.612371660947323,4.03,-2.6245470328585263
2533,1887,2.585731896644065,7.679580133222467,5.01,0.8790101606745093
2534,1888,2.6390573296152584,7.679580133222467,2.51,0.0
2535,1889,2.6381283267971667,7.477954716397035,4.48,-2.66055545519559
2536,1890,2.722807442077117,7.342728031216925,5.84,-1.8248881005920703
2537,1891,2.7445749757845825,7.342728031216925,3.42,0.0
2538,1892,2.804208505995237,7.342728031216925,3.08,0.0
2539,1893,2.7450890485371966,7.275519558941782,4.57,-0.9195212409760289
2540,1894,2.658859956911438,6.938667456936243,1.07,-4.740548054854021
2541,1895,2.7570943012811324,6.804250512385956,1.88,-1.9562254740900675
2542,1896,2.7500235325796334,6.804250512385956,4.28,0.0
2543,1897,2.791717102674781,6.7362322994809904,1.75,-1.004672964433051
2544,1898,2.904877155209905,6.7362322994809904,2.18,0.0
2545,1899,2.9803140208256105,6.7362322994809904,5.08,0.0
2546,1900,3.033317033881262,6.804250512385955,2.94,1.004672964433051
2547,1901,3.1128039451398286,6.871458984661099,4.0,0.9828961834051908
2548,1902,3.190229406278079,6.938667456936243,5.15,0.9733292906848767
2549,1903,3.264995760481754,7.141102614391496,3.71,2.8757445219061983
2550,1904,3.2553234658392465,7.2083110866666384,1.78,0.9367485687618693
2551,1905,3.3695691062039788,7.141102614391496,4.44,-0.9367485687618693
2552,1906,3.4447675963635302,7.275519558941783,6.54,1.8648035329478452
2553,1907,3.531582162224717,7.612371660947323,7.01,4.525954636089158
2554,1908,3.415198901297969,7.477954716397035,1.92,-1.7815452945210808
2555,1909,3.482470101790892,7.342728031216926,2.71,-1.8248881005920703
2556,1910,3.5188618917761456,7.679580133222467,2.98,4.48544355578766
2557,1911,3.5460189662008954,7.679580133222467,2.57,0.0
2558,1912,3.630853016591588,7.88201529067772,3.52,2.60187432081036
2559,1913,3.6767309590671124,8.016432235228008,3.22,1.690984572928178
2560,1914,3.6063398818668126,8.097406298210108,3.43,1.0050335853501124
2561,1915,3.6647916585848463,8.17838036119221,1.92,0.9950330853168321
2562,1916,3.9143602718916326,8.826172865049019,2.62,7.622736538788422
2563,1917,4.098967194707544,10.36468006170894,3.43,16.068238169047344
2564,1918,4.338166174522038,12.227083510297264,5.28,16.524957289530697
2565,1919,4.370586444531326,14.00851289590349,6.32,13.6011757682855
2566,1920,4.4913966017282245,16.19481259642022,7.74,14.50257720502579
2567,1921,4.308299359276722,14.494357273796094,5.97,-11.093156070728227
2568,1922,4.305955197722586,13.603642580992984,4.29,-6.342182643749572
2569,1923,4.457110915797149,13.846564769939288,4.86,1.7699577099401065
2570,1924,4.474902034624081,13.846564769939288,3.08,0.0
2571,1925,4.515781439839964,14.170461021867693,4.18,2.312241742085419
2572,1926,4.583793320228506,14.332409147831894,4.5,1.1363758650314804
2573,1927,4.569190614655359,14.08948695888559,4.06,-1.7094433359300165
2574,1928,4.588074890559454,13.84656476993929,6.04,-1.739174271186883
2575,1929,4.64972281303715,13.84656476993929,7.61,0.0
2576,1930,4.523526196947581,13.522668518010883,2.94,-2.366974408590483
2577,1931,4.348870494764979,12.308057573279367,1.74,-9.411329157047899
2578,1932,4.086345992110834,11.09344662854785,2.05,-10.389959501815138
2579,1933,4.04574937904264,10.526628187673143,1.16,-5.244647537254243
2580,1934,4.2017030805426,10.850524439601546,1.0,3.0305349495328926
2581,1935,4.307316558214814,11.09344662854785,0.56,2.2141125877213508
2582,1936,4.440649253819643,11.255394754512054,0.91,1.4493007302566863
2583,1937,4.532631750697492,11.66026506942256,1.0,3.5339366445309217
2584,1938,4.469945932711765,11.417342880476255,1.0,-2.1053409197832718
2585,1939,4.5372874124001195,11.255394754512054,1.0,-1.42859572474765
2586,1940,4.633747924619799,11.336368817494154,1.0,0.7168489478612816
2587,1941,4.862204888923902,11.903187258368861,1.0,4.879016416943172
2588,1942,5.111698589916199,13.19877226608248,1.0,10.33176140280263
2589,1943,5.313619686556479,14.008512895903491,1.0,5.954139369101652
2590,1944,5.413639599132823,14.251435084849795,1.0,1.7192400540372965
2591,1945,5.429376330237537,14.575331336778198,1.0,2.2472855852058604
2592,1946,5.427304072711745,15.789942281509713,1.16,8.004270767353594
2593,1947,5.519923737004894,18.057216045008545,1.38,13.417221289637205
2594,1948,5.614834678562137,19.442604364604694,1.55,7.392137365716467
