iter	Passed	Remaining
0	0	857
1	1	849
2	2	826
3	3	807
4	3	791
5	6	1020
6	6	955
7	7	916
8	8	891
9	8	872
10	9	845
11	9	808
12	10	792
13	11	777
14	11	759
15	12	743
16	12	727
17	13	715
18	13	702
19	14	694
20	14	685
21	15	676
22	15	665
23	16	654
24	16	645
25	16	635
26	17	627
27	17	619
28	18	611
29	18	604
30	19	599
31	19	601
32	20	612
33	21	607
34	21	601
35	22	595
36	22	589
37	23	585
38	23	580
39	23	574
40	24	570
41	24	565
42	25	560
43	25	556
44	26	551
45	26	547
46	26	543
47	27	540
48	27	538
49	28	537
50	28	534
51	29	531
52	29	528
53	30	525
54	30	522
55	30	519
56	31	517
57	31	514
58	32	512
59	32	510
60	33	508
61	33	505
62	34	505
63	34	505
64	35	514
65	36	513
66	36	511
67	37	509
68	37	506
69	37	504
70	38	502
71	38	500
72	39	499
73	39	497
74	40	495
75	40	492
76	40	491
77	41	489
78	41	487
79	42	486
80	42	484
81	43	482
82	43	480
83	43	479
84	44	477
85	44	476
86	45	475
87	45	473
88	46	472
89	46	471
90	46	469
91	47	468
92	47	466
93	48	465
94	48	464
95	49	464
96	49	464
97	50	467
98	51	466
99	51	465
100	52	463
101	52	462
102	52	461
103	53	459
104	53	458
105	54	456
106	54	456
107	55	454
108	55	453
109	55	452
110	56	451
111	56	450
112	57	448
113	57	447
114	58	446
115	58	445
116	58	445
117	59	444
118	59	443
119	60	441
120	60	441
121	61	440
122	61	439
123	62	438
124	62	437
125	62	436
126	63	435
127	63	434
128	64	433
129	64	432
130	65	434
131	66	434
132	66	433
133	66	432
134	67	431
135	67	431
136	68	430
137	68	429
138	69	428
139	69	427
140	70	426
141	70	425
142	70	424
143	71	423
144	71	423
145	72	422
146	72	422
147	73	421
148	73	420
149	74	419
150	74	418
151	74	418
152	75	417
153	75	416
154	76	415
155	76	414
156	77	413
157	77	413
158	77	412
159	79	414
160	79	415
161	80	414
162	80	413
163	81	413
164	81	412
165	81	411
166	82	410
167	82	409
168	83	408
169	83	407
170	83	406
171	84	405
172	84	405
173	85	404
174	85	403
175	85	402
176	86	401
177	86	400
178	87	400
179	87	399
180	88	398
181	88	397
182	88	397
183	89	396
184	89	395
185	90	394
186	90	393
187	91	393
188	91	392
189	91	391
190	92	390
191	92	389
192	93	389
193	93	389
194	94	389
195	95	390
196	95	390
197	96	390
198	96	390
199	97	390
200	98	389
201	98	389
202	99	389
203	99	388
204	99	387
205	100	386
206	100	385
207	101	385
208	101	384
209	102	383
210	102	382
211	102	382
212	103	381
213	103	380
214	104	380
215	104	379
216	105	379
217	105	378
218	105	377
219	106	376
220	106	376
221	107	375
222	107	374
223	107	374
224	108	373
225	109	374
226	109	373
227	110	373
228	110	372
229	111	372
230	111	371
231	112	370
232	112	370
233	112	369
234	113	368
235	113	368
236	114	367
237	114	367
238	115	366
239	115	365
240	115	364
241	116	364
242	116	363
243	117	362
244	117	362
245	117	361
246	118	361
247	118	360
248	119	359
249	119	359
250	120	358
251	120	358
252	121	357
253	121	357
254	122	356
255	122	356
256	123	355
257	124	357
258	124	356
259	125	356
260	125	355
261	126	354
262	126	354
263	126	353
264	127	353
265	127	352
266	128	352
267	128	351
268	129	350
269	129	350
270	130	349
271	130	349
272	130	348
273	131	347
274	131	347
275	132	346
276	132	345
277	132	345
278	133	344
279	133	344
280	134	343
281	134	343
282	135	342
283	135	341
284	136	341
285	136	340
286	136	339
287	137	339
288	137	339
289	138	339
290	139	339
291	139	339
292	140	338
293	140	338
294	141	337
295	141	337
296	142	336
297	142	336
298	143	335
299	143	334
300	144	334
301	144	333
302	144	333
303	145	332
304	145	332
305	146	331
306	146	331
307	147	330
308	147	329
309	148	329
310	148	328
311	148	328
312	149	327
313	149	327
314	150	326
315	150	326
316	151	325
317	151	325
318	152	324
319	152	324
320	153	325
321	154	324
322	154	324
323	155	323
324	155	323
325	156	322
326	156	322
327	156	321
328	157	321
329	157	320
330	158	319
331	158	319
332	159	318
333	159	318
334	159	317
335	160	316
336	160	316
337	161	315
338	161	315
339	162	314
340	162	314
341	163	313
342	163	313
343	163	312
344	164	311
345	164	311
346	165	310
347	165	310
348	166	309
349	166	309
350	167	308
351	167	308
352	168	308
353	168	307
354	169	307
355	169	307
356	170	306
357	170	306
358	171	305
359	171	305
360	172	304
361	172	304
362	172	303
363	173	302
364	173	302
365	174	301
366	174	301
367	175	300
368	175	299
369	175	299
370	176	298
371	176	298
372	177	297
373	177	297
374	178	296
375	178	296
376	179	295
377	179	295
378	179	294
379	180	294
380	180	293
381	181	292
382	181	292
383	182	293
384	183	292
385	183	292
386	184	291
387	184	291
388	185	290
389	185	290
390	186	289
391	186	289
392	186	288
393	187	288
394	187	287
395	188	287
396	188	286
397	189	286
398	189	285
399	189	284
400	190	284
401	190	283
402	191	283
403	191	282
404	192	282
405	192	281
406	192	281
407	193	280
408	193	280
409	194	279
410	194	279
411	195	278
412	195	277
413	196	277
414	196	277
415	197	276
416	197	276
417	198	275
418	198	275
419	199	274
420	199	274
421	199	273
422	200	273
423	200	272
424	201	272
425	201	271
426	201	271
427	202	270
428	202	270
429	203	269
430	203	268
431	204	268
432	204	267
433	204	267
434	205	266
435	205	266
436	206	265
437	206	265
438	207	264
439	207	264
440	208	263
441	208	263
442	208	262
443	209	262
444	209	261
445	210	261
446	210	260
447	211	260
448	211	259
449	212	259
450	212	258
451	213	259
452	214	258
453	214	258
454	214	257
455	215	256
456	215	256
457	216	255
458	216	255
459	217	254
460	217	254
461	218	254
462	218	253
463	219	253
464	219	252
465	219	251
466	220	251
467	220	250
468	221	250
469	221	249
470	222	249
471	222	248
472	223	248
473	223	247
474	223	247
475	224	246
476	224	246
477	225	245
478	225	245
479	225	244
480	226	244
481	227	244
482	227	243
483	228	243
484	229	243
485	229	242
486	230	242
487	230	241
488	231	241
489	231	241
490	232	240
491	232	240
492	232	239
493	233	239
494	233	238
495	234	238
496	234	237
497	235	237
498	235	236
499	236	236
500	236	235
501	236	235
502	237	234
503	237	234
504	238	233
505	238	233
506	239	232
507	239	231
508	239	231
509	240	231
510	240	230
511	241	230
512	242	229
513	243	229
514	243	229
515	244	229
516	244	228
517	245	228
518	245	227
519	245	227
520	246	226
521	246	226
522	247	225
523	247	225
524	248	224
525	248	224
526	248	223
527	249	222
528	249	222
529	250	221
530	250	221
531	251	220
532	251	220
533	251	219
534	252	219
535	252	218
536	253	218
537	253	217
538	254	217
539	254	216
540	254	216
541	255	215
542	255	215
543	256	214
544	256	214
545	257	213
546	257	213
547	258	213
548	258	212
549	259	212
550	259	211
551	259	210
552	260	210
553	260	209
554	261	209
555	261	208
556	261	208
557	262	207
558	262	207
559	263	206
560	263	206
561	263	205
562	264	205
563	264	204
564	265	204
565	265	203
566	265	202
567	266	202
568	266	201
569	267	201
570	267	200
571	267	200
572	268	199
573	268	199
574	269	198
575	269	198
576	269	197
577	270	197
578	270	196
579	271	196
580	272	196
581	272	196
582	273	195
583	273	195
584	274	194
585	274	194
586	275	193
587	275	192
588	275	192
589	276	191
590	276	191
591	277	190
592	277	190
593	277	189
594	278	189
595	278	188
596	279	188
597	279	187
598	279	187
599	280	186
600	280	186
601	281	185
602	281	185
603	282	184
604	282	184
605	282	183
606	283	183
607	283	182
608	284	182
609	284	181
610	284	181
611	285	180
612	285	180
613	286	179
614	287	179
615	288	179
616	288	179
617	288	178
618	289	178
619	289	177
620	290	177
621	290	176
622	291	176
623	291	175
624	291	175
625	292	174
626	292	174
627	293	173
628	293	173
629	294	172
630	294	172
631	295	171
632	295	171
633	296	171
634	296	170
635	297	170
636	297	169
637	298	169
638	298	168
639	298	168
640	299	167
641	299	167
642	300	166
643	300	166
644	301	165
645	302	165
646	302	165
647	303	164
648	303	164
649	303	163
650	304	163
651	304	162
652	305	162
653	305	161
654	306	161
655	306	160
656	306	160
657	307	159
658	307	159
659	308	158
660	308	158
661	309	157
662	309	157
663	309	156
664	310	156
665	310	155
666	311	155
667	311	154
668	312	154
669	312	153
670	312	153
671	313	152
672	313	152
673	314	151
674	314	151
675	314	150
676	315	150
677	316	150
678	316	149
679	317	149
680	317	148
681	318	148
682	318	147
683	319	147
684	319	146
685	320	146
686	320	146
687	320	145
688	321	145
689	321	144
690	322	144
691	322	143
692	322	143
693	323	142
694	323	142
695	324	141
696	324	141
697	325	140
698	325	140
699	325	139
700	326	139
701	326	138
702	327	138
703	327	137
704	327	137
705	328	136
706	328	136
707	329	135
708	329	135
709	329	134
710	330	134
711	331	134
712	332	133
713	332	133
714	333	132
715	333	132
716	333	131
717	334	131
718	334	130
719	335	130
720	335	129
721	335	129
722	336	128
723	336	128
724	337	127
725	337	127
726	337	126
727	338	126
728	338	125
729	339	125
730	339	124
731	339	124
732	340	123
733	340	123
734	340	122
735	341	122
736	341	121
737	342	121
738	342	120
739	342	120
740	343	119
741	343	119
742	343	118
743	344	118
744	345	118
745	345	117
746	346	117
747	346	116
748	347	116
749	347	115
750	347	115
751	348	114
752	348	114
753	349	113
754	349	113
755	349	112
756	350	112
757	350	111
758	351	111
759	351	111
760	351	110
761	352	110
762	352	109
763	353	109
764	353	108
765	353	108
766	354	107
767	354	107
768	354	106
769	355	106
770	355	105
771	355	105
772	356	104
773	356	104
774	357	103
775	357	103
776	357	102
777	358	102
778	358	101
779	358	101
780	359	100
781	360	100
782	361	100
783	361	99
784	361	99
785	362	98
786	362	98
787	363	97
788	363	97
789	363	96
790	364	96
791	364	95
792	365	95
793	365	94
794	365	94
795	366	93
796	366	93
797	366	92
798	367	92
799	367	91
800	368	91
801	368	90
802	368	90
803	369	90
804	369	89
805	369	89
806	370	88
807	370	88
808	371	87
809	371	87
810	371	86
811	372	86
812	372	85
813	373	85
814	373	84
815	373	84
816	374	83
817	375	83
818	375	83
819	376	82
820	376	82
821	376	81
822	377	81
823	377	80
824	378	80
825	378	79
826	378	79
827	379	78
828	379	78
829	380	77
830	380	77
831	380	76
832	381	76
833	381	75
834	381	75
835	382	74
836	382	74
837	382	74
838	383	73
839	383	73
840	384	72
841	384	72
842	384	71
843	385	71
844	385	70
845	385	70
846	386	69
847	386	69
848	387	68
849	387	68
850	387	67
851	388	67
852	388	66
853	389	66
854	389	66
855	389	65
856	391	65
857	391	64
858	392	64
859	392	63
860	392	63
861	393	62
862	393	62
863	394	62
864	394	61
865	395	61
866	395	60
867	395	60
868	396	59
869	396	59
870	397	58
871	397	58
872	397	57
873	398	57
874	398	56
875	398	56
876	399	56
877	399	55
878	400	55
879	400	54
880	400	54
881	401	53
882	401	53
883	402	52
884	402	52
885	402	51
886	403	51
887	403	50
888	404	50
889	405	50
890	406	49
891	406	49
892	406	48
893	407	48
894	407	47
895	408	47
896	408	46
897	408	46
898	409	45
899	409	45
900	409	45
901	410	44
902	410	44
903	410	43
904	411	43
905	411	42
906	412	42
907	412	41
908	412	41
909	413	40
910	413	40
911	413	39
912	414	39
913	414	39
914	414	38
915	415	38
916	415	37
917	416	37
918	416	36
919	417	36
920	417	35
921	418	35
922	419	34
923	419	34
924	420	34
925	421	33
926	421	33
927	422	32
928	422	32
929	423	31
930	423	31
931	424	30
932	424	30
933	424	30
934	425	29
935	425	29
936	426	28
937	426	28
938	427	27
939	427	27
940	428	26
941	428	26
942	428	25
943	429	25
944	429	25
945	430	24
946	430	24
947	430	23
948	431	23
949	431	22
950	431	22
951	432	21
952	432	21
953	433	20
954	433	20
955	434	20
956	435	19
957	435	19
958	435	18
959	436	18
960	436	17
961	437	17
962	437	16
963	437	16
964	438	15
965	438	15
966	438	14
967	439	14
968	439	14
969	439	13
970	440	13
971	440	12
972	440	12
973	441	11
974	441	11
975	441	10
976	442	10
977	442	9
978	442	9
979	443	9
980	443	8
981	444	8
982	444	7
983	444	7
984	445	6
985	445	6
986	445	5
987	446	5
988	446	4
989	446	4
990	447	4
991	447	3
992	448	3
993	449	2
994	449	2
995	450	1
996	450	1
997	450	0
998	451	0
999	451	0
