iter	Passed	Remaining
0	0	713
1	1	617
2	1	638
3	2	614
4	2	591
5	4	666
6	4	638
7	4	608
8	5	583
9	5	566
10	6	551
11	6	540
12	6	530
13	7	531
14	8	527
15	8	521
16	8	517
17	9	510
18	9	504
19	10	499
20	10	496
21	11	499
22	11	503
23	12	498
24	12	496
25	13	493
26	13	488
27	13	484
28	14	482
29	14	479
30	15	475
31	15	479
32	16	476
33	16	476
34	17	482
35	18	483
36	18	481
37	18	479
38	19	477
39	19	475
40	20	472
41	20	471
42	21	472
43	21	470
44	22	469
45	22	467
46	22	465
47	23	464
48	23	462
49	24	461
50	24	459
51	25	458
52	25	457
53	26	455
54	26	454
55	26	453
56	27	451
57	27	450
58	28	450
59	28	448
60	29	448
61	29	447
62	29	445
63	30	445
64	30	443
65	31	442
66	31	443
67	32	446
68	33	454
69	34	455
70	34	454
71	35	453
72	35	452
73	36	451
74	36	449
75	36	448
76	37	447
77	37	446
78	38	444
79	38	443
80	39	442
81	39	441
82	39	440
83	40	440
84	40	438
85	41	438
86	41	437
87	42	436
88	42	436
89	43	435
90	43	434
91	43	433
92	44	432
93	44	431
94	45	431
95	45	431
96	46	432
97	47	434
98	47	436
99	48	435
100	48	434
101	49	434
102	49	433
103	50	432
104	50	431
105	51	431
106	51	430
107	52	429
108	52	429
109	53	429
110	53	429
111	54	428
112	54	427
113	54	426
114	55	425
115	55	425
116	56	424
117	56	423
118	57	422
119	57	422
120	58	421
121	58	421
122	59	421
123	59	420
124	59	419
125	60	418
126	60	417
127	61	419
128	62	420
129	62	421
130	63	421
131	64	420
132	64	419
133	64	418
134	65	417
135	65	416
136	65	415
137	66	414
138	66	413
139	67	412
140	67	411
141	67	410
142	68	409
143	68	409
144	69	408
145	69	407
146	70	407
147	70	407
148	71	406
149	71	405
150	72	405
151	72	405
152	73	405
153	73	404
154	74	403
155	74	404
156	75	405
157	76	405
158	76	405
159	77	406
160	77	405
161	78	404
162	78	404
163	79	403
164	79	402
165	79	401
166	80	400
167	80	400
168	81	399
169	81	398
170	82	398
171	82	397
172	82	396
173	83	395
174	83	395
175	84	394
176	84	393
177	85	393
178	85	392
179	86	392
180	86	391
181	87	391
182	87	390
183	88	390
184	88	389
185	88	389
186	89	388
187	90	389
188	90	389
189	91	388
190	91	388
191	92	387
192	92	387
193	93	387
194	93	387
195	94	386
196	94	386
197	95	386
198	95	385
199	96	384
200	96	384
201	97	383
202	97	383
203	98	382
204	98	382
205	99	381
206	99	381
207	99	380
208	100	380
209	100	379
210	101	378
211	101	377
212	102	377
213	102	376
214	103	376
215	103	376
216	104	375
217	104	374
218	104	374
219	105	375
220	106	376
221	107	376
222	107	375
223	108	375
224	108	374
225	109	374
226	109	373
227	110	372
228	110	372
229	110	371
230	111	370
231	111	370
232	112	369
233	112	369
234	113	368
