Row,High payoff probability,Risky count,Trials,Observed share,True probability,Unconstrained fit,Fixed-scale fit,Monotone fit
1,0.1,1,80,0.0125,0.0204,0.0125,0.0204,0.0125
2,0.2,4,80,0.05,0.0219,0.05,0.0219,0.0313
3,0.3,1,80,0.0125,0.0285,0.0125,0.0285,0.0313
4,0.4,8,80,0.1,0.057,0.1,0.0568,0.1
5,0.5,12,80,0.15,0.1659,0.15,0.1653,0.15
6,0.6,29,80,0.3625,0.4471,0.3625,0.4461,0.3625
7,0.7,69,80,0.8625,0.7707,0.8625,0.77,0.8625
8,0.8,72,80,0.9,0.9237,0.9,0.9234,0.9
9,0.9,77,80,0.9625,0.9668,0.9625,0.9667,0.9625
10,1.0,79,80,0.9875,0.977,0.9875,0.977,0.9875
