Method,States,Std,Std error,Persistence,Persistence error
Tauchen,3,0.13344,0.06939,0.99999,0.04999
Rouwenhorst,3,0.06405,0.00000,0.95000,0.00000
Tauchen,5,0.08414,0.02009,0.98787,0.03787
Rouwenhorst,5,0.06405,-0.00000,0.95000,-0.00000
Tauchen,7,0.07918,0.01513,0.96220,0.01220
Rouwenhorst,7,0.06405,0.00000,0.95000,0.00000
Tauchen,9,0.07509,0.01103,0.95128,0.00128
Rouwenhorst,9,0.06405,-0.00000,0.95000,-0.00000
Tauchen,15,0.06805,0.00400,0.94889,-0.00111
Rouwenhorst,15,0.06405,0.00000,0.95000,0.00000
