Quantity,Value
Household EGM iterations to convergence,424
Household EGM final sup-norm residual,9.82e-10
Calibrated discount factor,0.98223
Calibrated labor disutility,0.7862
Aggregate savings A*,5.6000
Bond supply B (target),5.6000
Aggregate effective labor NE,1.0000
Aggregate consumption C*,1.0000
Aggregate output Y*,1.0000
Steady-state real rate r* (quarterly),0.0050
"Jacobian construction time (seconds, T=300)",26.14
H_U matrix size,900 x 900
H_U condition number,4.41e+03
Peak HANK output response (% of Y*),-0.190
Peak HANK consumption response (% of C*),-0.190
Peak RA NK output response (%),-0.249
