subject,menu,choice
Subject-1,"w,x,y,z",w
Subject-1,"w,x,y",w
Subject-1,"w,x,z",w
Subject-1,"w,y,z",w
Subject-1,"x,y,z",x
Subject-1,"w,x",w
Subject-1,"w,y",w
Subject-1,"w,z",w
Subject-1,"x,y",x
Subject-1,"x,z",x
Subject-1,"y,z",y
Subject-1,w,w
Subject-1,x,x
Subject-1,y,y
Subject-1,z,z
Subject-2,"w,x,y,z","x,y,z"
Subject-2,"w,x,y","x,y"
Subject-2,"w,x,z","x,z"
Subject-2,"w,y,z","w,y,z"
Subject-2,"x,y,z","x,y,z"
Subject-2,"w,x",x
Subject-2,"w,y","w,y"
Subject-2,"w,z","w,z"
Subject-2,"x,y","x,y"
Subject-2,"x,z","x,z"
Subject-2,"y,z","y,z"
Subject-3,"w,x,y,z",x
Subject-3,"w,x,y",x
Subject-3,"w,x,z",x
Subject-3,"w,y,z",w
Subject-3,"x,y,z",y
Subject-3,"w,x",x
Subject-3,"w,y",w
Subject-3,"w,z",w
Subject-3,"x,y",y
Subject-3,"x,z",x
Subject-3,"y,z",y
Subject-4,"w,x,y,z","w,x"
Subject-4,"w,x,y","w,x"
Subject-4,"w,x,z","w,x"
Subject-4,"w,y,z","w,y"
Subject-4,"x,y,z","x,y"
Subject-4,"w,x","w,x"
Subject-4,"w,y","w,y"
Subject-4,"w,z","w,z"
Subject-4,"x,y","x,y"
Subject-4,"x,z","x,z"
Subject-4,"y,z","y,z"
Subject-5,"w,x,y,z","w,y"
Subject-5,"w,x,y",w
Subject-5,"w,x,z",w
Subject-5,"w,y,z",y
Subject-5,"x,y,z",y
Subject-5,"w,x",w
Subject-5,"w,y","w,y"
Subject-5,"w,z","w,z"
Subject-5,"x,y","x,y"
Subject-5,"x,z","x,z"
Subject-5,"y,z",y
Subject-6,"w,x,y,z",w
Subject-6,"w,x,y",w
Subject-6,"w,x,z",w
Subject-6,"w,y,z",w
Subject-6,"x,y,z",x
Subject-6,"w,x",w
Subject-6,"w,y",w
Subject-6,"w,z",w
Subject-6,"x,y",x
Subject-6,"x,z",x
Subject-6,"y,z",
Subject-6,w,w
Subject-6,x,x
Subject-6,y,
Subject-6,z,
Subject-7,"w,x,y,z","w,x"
Subject-7,"w,x,y","w,x"
Subject-7,"w,x,z","w,x"
Subject-7,"w,y,z",w
Subject-7,"x,y,z",x
Subject-7,"w,x","w,x"
Subject-7,"w,y",w
Subject-7,"w,z",w
Subject-7,"x,y",x
Subject-7,"x,z",x
Subject-7,"y,z",
Subject-7,w,w
Subject-7,x,x
Subject-7,y,
Subject-7,z,
Subject-8,"w,x,y,z",
Subject-8,"w,x,y",
Subject-8,"w,x,z",
Subject-8,"w,y,z",
Subject-8,"x,y,z",
Subject-8,"w,x",w
Subject-8,"w,y",w
Subject-8,"w,z",w
Subject-8,"x,y",x
Subject-8,"x,z",x
Subject-8,"y,z",y
Subject-9,"w,x,y,z",
Subject-9,"w,x,y",w
Subject-9,"w,x,z",
Subject-9,"w,y,z",
Subject-9,"x,y,z",
Subject-9,"w,x",w
Subject-9,"w,y",w
Subject-9,"w,z",
Subject-9,"x,y",x
Subject-9,"x,z",
Subject-9,"y,z",
Subject-9,w,w
Subject-9,x,x
Subject-9,y,y
Subject-9,z,z
Subject-10,"w,x,y,z",
Subject-10,"w,x,y","w,x"
Subject-10,"w,x,z",
Subject-10,"w,y,z",
Subject-10,"x,y,z",
Subject-10,"w,x","w,x"
Subject-10,"w,y",w
Subject-10,"w,z",
Subject-10,"x,y",x
Subject-10,"x,z",
Subject-10,"y,z",
Subject-10,w,w
Subject-10,x,x
Subject-10,y,y
Subject-10,z,z
Subject-11,"w,x,y,z","w,y"
Subject-11,"w,x,y",w
Subject-11,"w,x,z",w
Subject-11,"w,y,z",y
Subject-11,"x,y,z",y
Subject-11,"w,x",w
Subject-11,"w,y",
Subject-11,"w,z",
Subject-11,"x,y",
Subject-11,"x,z",
Subject-11,"y,z",y
