Subject,Price1,Price2,Price3,Price4,Price5,Price 6,Demand1,Demand2,Demand3,Demand4,Demand5,Demand6
subject1,2,2,0,0,0,0,10,20,0,0,0,0
subject1,5,5,0,0,0,0,7,2,0,0,0,0
subject1,3,4,0,0,0,0,8,12,0,0,0,0
subject1,1,2,0,0,0,0,30,10,0,0,0,0
subject1,10,10,0,0,0,0,2,2,0,0,0,0
subject1,20,15,0,0,0,0,1,6,0,0,0,0
subject1,15,20,0,0,0,0,3,3,0,0,0,0
subject1,20,2,0,0,0,0,1,25,0,0,0,0
subject1,1,30,0,0,0,0,50,1,0,0,0,0
subject1,30,1,0,0,0,0,2,40,0,0,0,0
subject2,2,2,0,0,0,0,10,20,0,0,0,0
subject2,5,5,0,0,0,0,7,2,0,0,0,0
subject2,3,4,0,0,0,0,8,12,0,0,0,0
subject2,1,2,0,0,0,0,30,10,0,0,0,0
subject2,10,10,0,0,0,0,2,2,0,0,0,0
subject2,20,15,0,0,0,0,1,6,0,0,0,0
subject2,15,20,0,0,0,0,3,3,0,0,0,0
subject2,2,20,0,0,0,0,10,12,0,0,0,0
subject2,20,2,0,0,0,0,1,25,0,0,0,0
subject2,1,30,0,0,0,0,50,1,0,0,0,0
subject2,30,1,0,0,0,0,2,40,0,0,0,0
subject3,2,2,10,20,15,18,10,14,7,5,13,2
subject3,5,5,7,2,12,2,15,18,12,2,10,12
subject3,3,4,8,12,21,16,21,25,7,8,9,13
subject3,1,2,30,10,12,14,13,14,25,20,15,13
subject3,10,10,2,2,8,8,14,19,21,19,12,10
subject3,20,15,1,6,5,1,18,12,2,14,19,21
subject3,15,20,3,3,2,19,12,2,13,14,25,14
subject3,2,20,10,12,16,12,5,13,2,21,25,7
subject3,1,30,50,1,15,15,14,19,21,10,14,7
subject3,30,1,2,40,20,21,5,18,12,2,7,12
subject4,2,2,0,0,0,0,10,20,0,0,0,0
subject4,5,5,0,0,0,0,7,2,0,0,0,0
subject4,3,4,0,0,0,0,8,12,0,0,0,0
subject4,1,2,0,0,0,0,30,10,0,0,0,0
subject4,10,10,0,0,0,0,2,2,0,0,0,0
subject4,20,15,0,0,0,0,1,6,0,0,0,0
subject4,15,20,0,0,0,0,3,3,0,0,0,0
subject4,5,15,0,0,0,0,2,5,0,0,0,0
subject4,2,20,0,0,0,0,10,12,0,0,0,0
subject4,20,2,0,0,0,0,1,25,0,0,0,0
subject4,1,30,0,0,0,0,50,1,0,0,0,0
subject4,30,1,0,0,0,0,2,40,0,0,0,0
subject4,12,2,0,0,0,0,5,6,0,0,0,0
subject4,2,12,0,0,0,0,3,1,0,0,0,0
subject4,4,20,0,0,0,0,12,6,0,0,0,0
subject4,20,4,0,0,0,0,3,19,0,0,0,0
subject4,15,15,0,0,0,0,7,3,0,0,0,0
subject4,7,12,0,0,0,0,13,6,0,0,0,0
subject4,9,9,0,0,0,0,6,14,0,0,0,0
subject4,30,30,0,0,0,0,2,1,0,0,0,0
