Start id,Starting price,Converged price,Converged profit,Function evaluations,Basin
0,6.3049,4.2500,5.6250,6,high-price
1,3.7921,4.2500,5.6250,6,high-price
2,6.9396,4.2500,5.6250,6,high-price
3,5.7306,4.2500,5.6250,6,high-price
4,1.2072,4.2500,5.6250,8,high-price
5,7.8172,4.2500,5.6250,6,high-price
6,6.2088,4.2500,5.6250,6,high-price
7,6.3957,4.2500,5.6250,6,high-price
8,1.4617,4.2500,5.6250,8,high-price
9,3.8784,4.2500,5.6250,6,high-price
10,3.2816,4.2500,5.6250,6,high-price
11,7.4508,4.2500,5.6250,6,high-price
12,5.3293,4.2500,5.6250,6,high-price
13,6.6709,4.2500,5.6250,6,high-price
14,3.8262,4.2500,5.6250,6,high-price
15,2.2051,4.2500,5.6250,6,high-price
16,4.6598,4.2500,5.6250,6,high-price
17,0.9796,4.2500,5.6250,8,high-price
18,6.7074,4.2500,5.6250,6,high-price
19,5.2379,4.2500,5.6250,6,high-price
20,6.1859,4.2500,5.6250,6,high-price
21,3.1596,4.2500,5.6250,6,high-price
22,7.7803,4.2500,5.6250,6,high-price
23,7.1985,4.2500,5.6250,6,high-price
24,6.3381,4.2500,5.6250,6,high-price
25,1.9606,1.6029,4.1360,6,low-price
26,4.0009,4.2500,5.6250,6,high-price
27,0.8295,4.2500,5.6250,8,high-price
28,1.6580,1.6029,4.1360,6,low-price
29,5.6232,4.2500,5.6250,6,high-price
30,6.0860,4.2500,5.6250,6,high-price
31,7.7564,4.2500,5.6250,6,high-price
32,2.9444,4.2500,5.6250,6,high-price
33,3.2791,4.2500,5.6250,6,high-price
34,4.0222,4.2500,5.6250,6,high-price
35,1.9218,1.6029,4.1360,6,low-price
36,1.4753,4.2500,5.6250,8,high-price
37,4.0683,4.2500,5.6250,6,high-price
38,2.2026,4.2500,5.6250,6,high-price
39,5.5239,4.2500,5.6250,6,high-price
40,3.7792,4.2500,5.6250,6,high-price
41,6.7453,4.2500,5.6250,6,high-price
42,5.7523,4.2500,5.6250,6,high-price
43,2.8434,4.2500,5.6250,6,high-price
44,6.7421,4.2500,5.6250,6,high-price
45,6.5359,4.2500,5.6250,6,high-price
46,3.4067,4.2500,5.6250,6,high-price
47,2.6632,4.2500,5.6250,6,high-price
48,5.6190,4.2500,5.6250,6,high-price
49,1.5490,1.6029,4.1360,6,low-price
