Quantity,Value,Description
$k^{*}$,5.5843,Ramsey steady-state capital
$c^{*}$,1.3961,Ramsey steady-state consumption
$y^{*}$,1.6753,Steady-state output
$r^{*}=f'(k^{*})-\delta$,0.0400,Net return equals rho in steady state
$k_{GR}$,12.9314,Capital that maximizes sustainable consumption
$c_{GR}$,1.5087,Maximum sustainable consumption
$\lambda_s$,-0.0710,Stable eigenvalue
$\lambda_u$,0.1110,Unstable eigenvalue
$dc/dk$ on local stable arm,0.1110,Consumption slope of the linearized stable arm
Max nonlinear-linear gap,0.0500,"Largest c gap on k in [0.5 k*, 1.5 k*]"
