subject,menu,choice
random1,"A,B,C,D","A,B,C"
random1,C,
random1,"A,B,D",D
random1,"C,D",D
random1,"A,B",B
random1,"B,D",
random1,"A,B,C,D",
random1,"A,C,D","A,C"
random1,E,E
random1,"C,D","C,D"
random1,"B,C,D,E","C,D,E"
random1,C,C
random1,"D,E",D
random1,"A,C",C
random1,"A,C,E","C,E"
random1,"A,B,E",E
random1,"A,C",C
random1,"B,C,D,E",D
random1,"C,E",E
random1,"A,B,C,D,E","B,C,D,E"
random1,"B,D,E",E
random1,"A,B,C,E","A,B,C"
random1,"A,B,C,D",C
random1,"A,C",A
random1,"B,C",
random1,E,
random1,"B,C,D",C
random1,"B,C",
random1,"A,B,D","A,D"
random1,"A,B,C",B
random1,"A,C,D",
random1,"B,C,E","B,C"
random2,"A,E",
random2,"A,E",E
random2,"A,C",C
random2,"A,C",
random2,"A,B,C","A,B"
random2,"A,B,C,E","B,C,E"
random2,"B,D,E",D
random2,"C,D,E","C,D"
random2,"A,B,D,E","A,D,E"
random2,D,D
random2,"C,E",E
random2,"A,B,C,E","B,E"
random2,"C,D,E",
random2,"B,C",C
random2,"A,B",A
random2,B,
random2,B,
random2,"B,C,D,E","C,E"
random2,"A,B,C,D","A,B,C,D"
random2,"B,D,E",
random2,"A,B,D",B
random2,"A,D,E","A,D,E"
random2,"A,C,D,E","A,C"
random2,"B,C,D",C
random2,"A,B,D",
random2,"C,E",
random2,"A,C","A,C"
random2,"D,E",
random2,"B,C",
random2,"A,E",
random2,"D,E","D,E"
random2,"B,C,D","B,C"
random3,"A,C,E",
random3,"B,E","B,E"
random3,"B,E",
random3,"C,E",E
random3,"A,B,C",
random3,"A,C,E","A,C"
random3,"A,D","A,D"
random3,E,
random3,"B,C,E",C
random3,C,C
random3,"B,C,D",C
random3,E,
random3,"A,B,C,D","B,C"
random3,"A,C,D","A,C"
random3,A,A
random3,"A,B,D,E",A
random3,"B,C,E","B,C,E"
random3,D,D
random3,"A,B",A
random3,"A,C,D,E","A,E"
random3,"A,D",
random3,"A,D",A
random3,"A,D,E",
random3,"B,E","B,E"
random3,E,
random3,"B,C,E","B,C,E"
random3,"B,D",B
random3,"A,B,C,D",
random3,"C,D,E","C,E"
random3,"D,E",D
random3,"A,C,D",
random3,"A,B,D,E",
random4,C,C
random4,"D,E",
random4,"A,C",A
random4,"B,C,D","C,D"
random4,"B,C,E","B,E"
random4,"B,D,E","D,E"
random4,"B,C",
random4,"A,B,E",E
random4,"B,D",
random4,"A,D",A
random4,"C,D",
random4,"A,B,C,D","A,D"
random4,"B,C,D",
random4,"B,C,E",
random4,"A,D",A
random4,"A,B,C,D,E",E
random4,"B,C",
random4,"B,D","B,D"
random4,"B,D",
random4,A,
random4,"A,D,E","A,E"
random4,"A,B,C,E",C
random4,"A,B,C,D","A,C"
random4,"A,C,D,E","C,E"
random4,"B,E",E
random4,C,C
random4,"B,D","B,D"
random4,"A,C",C
random4,"C,D",
random4,C,C
random4,"A,D",
random4,B,B
random5,"B,C,D","B,D"
random5,"A,C,D","A,C,D"
random5,"C,D","C,D"
random5,"D,E","D,E"
random5,"A,B,C,D","B,C,D"
random5,"B,C,D",
random5,B,
random5,"A,B,C","A,B,C"
random5,"B,D,E",D
random5,"A,B,E",E
random5,"B,E",B
random5,"B,C","B,C"
