Age,States,Mean abs. Emax error,Emax RMSE,RMSE / exact Emax sd,90th pct. abs. error,Max abs. error,Policy agreement
16,1,0.0175,0.0175,,0.0175,0.0175,1.0
17,4,0.0254,0.0277,0.123,0.0377,0.0405,1.0
18,10,0.0225,0.0275,0.0797,0.0421,0.0461,0.9
19,20,0.0235,0.0295,0.0645,0.0466,0.0652,0.95
20,35,0.0318,0.0378,0.0661,0.0605,0.0848,0.9429
21,56,0.0436,0.0492,0.071,0.0718,0.0985,0.9821
22,84,0.0541,0.0606,0.0732,0.0876,0.1125,0.9881
23,120,0.0631,0.0706,0.0727,0.1042,0.1329,1.0
24,165,0.0699,0.079,0.0707,0.1185,0.1499,0.9939
25,219,0.0696,0.0797,0.0665,0.1248,0.1654,0.9863
26,282,0.0697,0.0806,0.0662,0.1285,0.1811,0.9929
27,354,0.07,0.0818,0.0687,0.1288,0.1946,0.9859
28,435,0.0703,0.0833,0.0738,0.127,0.2054,0.9839
29,525,0.0715,0.0862,0.0831,0.1406,0.2196,1.0
